id,name,family,style,alc_vol,bitter,ounces
2219,Scarecrow,Pale Ale,American IPA,0.069,65,16
2672,Leisure Time,Lager & Pilsener,American Pale Lager,0.048,15,12
1736,Zombie Monkie,Stout & Bitter,American Porter,0.062,35,16
371,Redband Stout,Stout & Bitter,American Stout,0.06,36,16
1137,Pre Flight Pilsner,Lager & Pilsener,American Pilsner,0.052000000000000005,33,16
1244,Dos Pistolas,Lager & Pilsener,Vienna Lager,0.048,20,12
2629,Veteran’s Pale Ale (VPA),Pale Ale,American Pale Ale (APA),0.05,40,12
1927,Beach Blonde,Other Ales,American Blonde Ale,0.049,10,16
1659,Evo IPA,Pale Ale,American IPA,0.062,70,12
1308,Rhino Chasers Pilsner,Lager & Pilsener,Czech Pilsener,0.055999999999999994,55,12
1756,When Helles Freezes Over,Lager & Pilsener,Munich Helles Lager,0.055999999999999994,18,12
2663,Grazias,Other Ales,Cream Ale,0.063,30,16
629,Harbinger,Other Ales,Saison / Farmhouse Ale,0.049,35,16
2394,Nonstop Hef Hop,Other Ales,American Pale Wheat Ale,0.039,20,16
1048,Outlaw IPA,Pale Ale,American IPA,0.062,65,12
2628,Grapefruit IPA,Pale Ale,American IPA,0.05,35,12
106,Ellie’s Brown Ale,Other Ales,American Brown Ale,0.055,17,12
1125,Gnarly Brown,Other Ales,American Brown Ale,0.07,32,12
1283,Na Zdraví Pilsner,Lager & Pilsener,Czech Pilsener,0.048,32,16
1760,GreyBeard™ IPA,Pale Ale,American IPA,0.069,51,12
855,Special Amber,Lager & Pilsener,Vienna Lager,0.05,22,12
2158,3:33 Black IPA,Pale Ale,American IPA,0.07200000000000001,86,16
2303,Beer Agent Re-Ignition,Other Ales,American Blonde Ale,0.053,22,16
130,Morning Wood Wheat (Current),Other Ales,American Pale Wheat Ale,0.059000000000000004,14,12
1759,Pisgah Pale Ale,Pale Ale,American Pale Ale (APA),0.057,31,12
655,Farmer Brown Ale,Other Ales,American Brown Ale,0.07,22,16
1711,Moose Drool Brown Ale,Other Ales,American Brown Ale,0.051,26,12
1846,Wachusett Light IPA,Pale Ale,American IPA,0.04,37,12
610,UFO White,Other Ales,American Pale Wheat Ale,0.048,10,12
1581,Hammer & Sickle,Stout & Bitter,Russian Imperial Stout,0.09,60,12
2609,Tribute,Pale Ale,American Pale Ale (APA),0.057999999999999996,58,12
1402,Mind's Eye PA,Pale Ale,American IPA,0.067,74,16
1727,Kilt Dropper Scotch Ale,Other Ales,Scotch Ale / Wee Heavy,0.075,22,16
420,Washita Wheat,Other Ales,American Pale Wheat Ale,0.053,14,12
2308,River House,Other Ales,Saison / Farmhouse Ale,0.05,20,16
1713,Scape Goat Pale Ale,Pale Ale,English Pale Ale,0.05,40,12
1166,Dale's Pale Ale,Pale Ale,American Pale Ale (APA),0.065,65,19.2
724,Hilliard's Blonde,Other Ales,American Blonde Ale,0.049,20,16
516,Jockamo IPA,Pale Ale,American IPA,0.065,52,12
